geoid,LATITUDE,LONGITUDE,Y,X
060014282004,37.75892499999975,-122.24275699999998,4179337.7108744965,566701.4533841953
060014282005,37.756745999999765,-122.238972,4179098.6560039697,567036.824963674
060014283011,37.73247199999975,-122.237137,4176406.7782540326,567220.4191900701
060014283012,37.733347999999765,-122.243563,4176499.37535308,566653.3922254102
060014283013,37.735067999999764,-122.24634700000001,4176688.2299431744,566406.5403609438
060014283014,37.730853999999745,-122.23825599999999,4176226.4590804735,567123.2765729133
060014283021,37.74198899999976,-122.255419,4177449.7147541107,565601.0607551993
060014283022,37.74005799999975,-122.24469599999999,4177243.0407309397,566547.5496780165
060014283023,37.745687999999774,-122.24501499999998,4177867.4605609495,566514.4045259804
060014284001,37.75975499999976,-122.25175199999998,4179423.4247355666,565908.3844177332
060014284002,37.76224899999975,-122.24740399999999,4179703.2058350937,566289.1516211048
060014284003,37.76417399999977,-122.25194799999998,4179913.5745930215,565887.1995853969
060014285001,37.75919599999976,-122.25920000000002,4179356.1831273963,565252.8194798427
060014285002,37.76377099999976,-122.25829399999999,4179864.4112697905,565328.6008361651
060014286001,37.76231099999976,-122.267786,4179695.8384420634,564493.812765788
060014286002,37.76684999999978,-122.27385200000002,4180195.2755611185,563955.5999265326
060014286003,37.76483999999975,-122.268543,4179975.909141515,564424.9410373581
060014287001,37.78404999999975,-122.286441,4182095.0833465266,562832.2478717787
060014287002,37.784413999999735,-122.309386,4182120.2995349835,560811.508687195
060014301011,37.69854999999974,-122.050532,4172793.492515703,583701.8025672087
060014301012,37.71142599999977,-122.03392099999999,4174237.0621285713,585151.4721841847
060014301013,37.71892599999977,-122.02169899999998,4175080.3754740544,586220.0691937384
060014301021,37.720896999999745,-122.049457,4175273.863828409,583771.4108424885
060014302001,37.72285199999976,-122.05876599999999,4175482.484969609,582948.8089644482
060014302002,37.70712199999975,-122.061669,4173734.6662425785,582710.4544740395
060014302003,37.70667299999977,-122.069276,4173678.159647646,582040.4050977095
060014302004,37.711382999999756,-122.06890599999998,4174201.0597290765,582067.8254382658
060014302005,37.71692599999975,-122.068833,4174816.1217779443,582068.1452451523
060014303001,37.71836499999978,-122.085877,4174960.979381433,580564.3858817695
060014303002,37.71202699999975,-122.07928199999999,4174263.470453736,581152.5488904201
060014303003,37.71530699999976,-122.077281,4174629.1232416327,581325.3365189523
060014304001,37.71328899999976,-122.094071,4174390.778090522,579847.6567650923
060014304002,37.717730999999745,-122.094336,4174883.3930964936,579819.533426127
060014305001,37.707667999999764,-122.11139000000001,4173752.5036029527,578327.06312565
060014305002,37.69943899999975,-122.10379,4172845.8791112434,579005.7182279921
060014305003,37.69378799999975,-122.098674,4172223.228264436,579462.7620773852
060014306001,37.71002299999975,-122.09765799999998,4174025.3628469068,579534.9866621379
060014306002,37.69621999999977,-122.09375700000001,4172497.239734608,579893.6542932497
060014306003,37.70371999999974,-122.099028,4173324.8823226807,579420.9548354212
060014306004,37.70362099999975,-122.09114499999998,4173320.6109741745,580115.9650115893
060014307001,37.70857099999975,-122.08608299999999,4173874.155395709,580556.8337946176
060014307002,37.70621799999973,-122.07887399999998,4173619.314171125,581194.8492458217
060014307003,37.704141999999756,-122.085795,4173383.0050286492,580587.0158767804
060014308001,37.70266699999972,-122.070418,4173232.6934665423,581944.1497911201
060014308002,37.70151499999975,-122.064076,4173110.4454243327,582504.4968652802
060014308003,37.69762599999975,-122.061213,4172681.4854509807,582761.2083655281
060014308004,37.697667999999744,-122.06936,4172678.979725524,582042.9259548087
060014309001,37.69914799999976,-122.07896,4172834.8223432093,581194.9806828637
060014309002,37.69778799999977,-122.08690599999998,4172677.0734202536,580495.9504567254
060014310001,37.69290199999977,-122.073648,4172146.4455583305,581670.1261280561
060014310002,37.693353999999744,-122.082352,4172189.0438608886,580902.2459791593
060014311001,37.688719999999776,-122.06866899999999,4171686.80429739,582113.7120191983
060014311002,37.687583999999774,-122.06442099999998,4171564.496101366,582489.5170533782
060014312001,37.68662699999976,-122.076759,4171447.5278911977,581402.7038557674
060014312002,37.68183899999976,-122.08109399999998,4170912.5436802413,581025.6846450362
060014312003,37.68750599999976,-122.087153,4171536.07474823,580485.2888630105
060014321001,37.73840399999976,-122.14819999999999,4177132.517711174,575051.3398698246
060014321002,37.73518899999974,-122.147452,4176776.4127732893,575120.4954483376
060014321003,37.732856999999754,-122.145448,4176519.287020201,575299.4389181609
060014322001,37.73409299999974,-122.16013599999998,4176644.708495572,574003.9416683606
060014322002,37.73580499999975,-122.15551099999999,4176838.321405006,574409.7637541778
060014322003,37.72994899999974,-122.155211,4176188.8361956705,574442.0609475172
060014323001,37.73459999999976,-122.168036,4176694.744306849,573307.327133691
060014323002,37.73267899999976,-122.165235,4176483.806457366,573556.0382140438
060014323003,37.72944199999975,-122.166716,4176123.49876912,573428.7329082548
060014324001,37.719281999999744,-122.17989999999999,4174985.990759516,572276.8155347272
060014324002,37.70113599999974,-122.180857,4172971.9631562727,572210.0791705518
060014324003,37.70509499999972,-122.185842,4173407.3807959994,571766.8104622758
060014325011,37.71438699999975,-122.16323900000002,4174455.881822215,573750.0567563856
060014325012,37.719042999999765,-122.163749,4174972.062272913,573700.4930071515
060014325013,37.71827099999976,-122.168977,4174882.3073756904,573240.4906408131
060014325021,37.72498899999975,-122.17338799999999,4175624.227122339,572845.149762304
060014325022,37.722949999999756,-122.17360499999998,4175397.831691908,572828.0229032858
060014325023,37.72456399999975,-122.167476,4175581.689391545,573366.5730573065
060014326001,37.723126999999764,-122.15847199999999,4175429.347693981,574161.5021228823
060014326002,37.727414999999766,-122.152817,4175909.5950895706,574655.5660096062
060014326003,37.724839999999766,-122.15043799999998,4175625.7984661506,574867.8047108988
060014326004,37.72205899999976,-122.148428,4175318.8557088124,575047.7457404619
060014326005,37.71925999999975,-122.15375,4175004.0549185886,574581.5237245616
060014327001,37.72931799999975,-122.144258,4176127.5923373573,575407.887631274
060014327002,37.726295999999756,-122.13996299999998,4175795.7691996368,575789.4496433107
060014327003,37.725139999999755,-122.144162,4175664.1202912005,575420.5845106698
060014328001,37.72984899999976,-122.13389099999999,4176194.907562593,576320.8990176726
060014328002,37.72210599999975,-122.130809,4175338.337575682,576600.4629583171
060014328003,37.713693999999755,-122.12539999999998,4174409.4645376434,577085.8755929649
060014330001,37.72086999999975,-122.14096699999999,4175192.9421484787,575706.4949777531
060014330002,37.71659299999976,-122.136445,4174722.074738037,576109.4019309734
060014330003,37.712887999999765,-122.13275599999999,4174314.0097780665,576438.3446794158
060014330004,37.70920699999974,-122.12857399999999,4173909.0246505495,576810.7505349187
060014331021,37.704695999999764,-122.13353599999999,4173404.4726691376,576378.0023802415
060014331022,37.698159999999746,-122.13348,4172679.3512962284,576389.646268393
060014331031,37.709342999999755,-122.13925999999998,4173915.404359969,575868.6896880133
060014331032,37.710811999999756,-122.13503799999998,4174081.817876734,576239.3338624337
060014331041,37.71305899999975,-122.145753,4174322.4541304833,575292.6024265086
060014331042,37.71726799999974,-122.14395199999998,4174790.891416119,575447.0755040781
060014331043,37.71601999999974,-122.14745999999998,4174649.6055858172,575139.155549729
060014332001,37.69739699999976,-122.142675,4172587.2393211466,575579.8034699496
060014332002,37.69601999999974,-122.13632199999999,4172439.605759305,576141.2884622359
060014332003,37.69186499999977,-122.134959,4171979.7190523916,576265.7079609864
060014332004,37.702644999999755,-122.14904799999998,4173164.380430608,575012.6751500457
060014333001,37.69394999999976,-122.14799999999998,4172200.514193972,575113.8325290523
060014333002,37.699015999999766,-122.152865,4172758.695056309,574679.8355194042
060014333003,37.693979999999755,-122.15890799999998,4172195.1540789753,574152.1162861034
060014333004,37.69938299999974,-122.160514,4172793.343816139,574005.1548578257
060014333005,37.69497199999974,-122.15464099999998,4172308.6013466897,574527.3162812913
060014334001,37.69783199999975,-122.177698,4172607.8262711056,572491.7774643388
060014334002,37.69411499999975,-122.175728,4172196.953974382,572669.0780757163
060014334003,37.69385599999976,-122.180785,4172164.3080944195,572223.4887056252
060014334004,37.67609599999975,-122.16049599999998,4170209.6836017063,574029.8870801311
060014334005,37.68751599999974,-122.163212,4171474.580627587,573779.0656983167
060014334006,37.68123399999976,-122.160092,4170780.0589838414,574060.4054586106
060014335001,37.688786999999756,-122.157849,4171619.832964479,574250.6593882646
060014335002,37.68866099999974,-122.15327799999999,4171609.485065677,574653.8084952813
060014335003,37.683299999999754,-122.15497400000001,4171013.336484457,574509.6359948969
060014335004,37.67822599999976,-122.153297,4170451.715123484,574662.5927534648
060014336001,37.688865999999734,-122.148716,4171635.873838198,575055.8319467269
060014336002,37.688651999999756,-122.14127699999999,4171618.1150215957,575711.9422074427
060014336003,37.681738999999766,-122.14531500000001,4170847.8677875176,575362.9076583917
060014336004,37.685395999999756,-122.145468,4171253.486179705,575345.71694786
060014337001,37.68722599999975,-122.10512399999999,4171489.7258559316,578901.057741114
060014337002,37.687014999999754,-122.117147,4171456.2605524054,577841.1909681456
060014337003,37.686779999999736,-122.127082,4171421.9813592713,576965.4470232665
060014338001,37.70685799999976,-122.125647,4173650.8078136723,577071.1851369443
060014338002,37.70381199999974,-122.121241,4173316.4890216067,577462.7368288711
060014338003,37.69677499999975,-122.120854,4172536.0557734612,577504.1782623725
060014338004,37.69293799999976,-122.124955,4172106.957532668,577146.6089434533
060014339001,37.70108499999975,-122.11647399999998,4173017.881521598,577885.8105765304
060014339002,37.69873399999975,-122.11379799999999,4172759.266740473,578124.1812224544
060014339003,37.698288999999775,-122.111092,4172712.154044291,578363.2051504852
060014339004,37.69621799999975,-122.110108,4172483.2005820298,578452.1355832508
060014340001,37.69341799999975,-122.106994,4172175.1533468636,578729.6297264583
060014340002,37.69021399999975,-122.11312899999999,4171814.5334307374,578192.1063685894
060014340003,37.693512999999754,-122.115043,4172178.960838834,578019.8958731226
060014351021,37.65843299999976,-122.04136399999999,4168350.7430984117,584555.5638771489
060014351022,37.653180999999755,-122.04591999999998,4167763.9376954413,584159.6251188803
060014351031,37.654387999999756,-122.020289,4167921.1643838575,586419.198499168
060014351032,37.68764899999976,-122.03836599999998,4171594.962895977,584786.7532111363
060014351033,37.677958999999746,-122.03295199999998,4170524.7685971465,585275.2076329988
060014351041,37.63476299999975,-122.04575300000002,4165720.623326986,584195.1445114645
060014351042,37.631330999999754,-122.052359,4165333.938438996,583616.1158909565
060014351043,37.62972799999976,-122.04378999999999,4165163.758016638,584374.0411504733
060014352001,37.68699399999975,-122.05508299999998,4171507.2966369237,583313.5226906426
060014352002,37.68240599999974,-122.04757999999998,4171004.954982531,583980.2524375622
